field,value
segnatura,LE
noName,3/0 10
cod_sez,LE
n_s_sez,3/0
autore,"GETTO, GIOVANNI"
luogo_pub,NAPOLI
editore,EDIZIONI SCIENTIFICHE ITALIANE
data_pub,1965
volume,2025-01-01 00:00:00
pagine,200
formato,21
note_sp,COLLANA DI SAGGI
data_crea,1997-10-31 00:00:00
n_scheda,17923
segnatura,S 2
noName,"2,102"
cod_sez,S
n_s_sez,22
autore,"ZANGRANDI, RUGGERO"
titolo,IL LUNGO VIAGGIO ATTRAVERSO IL FASCISMO. CONTRIBUTO ALLA STORIA DI U NA GENERAZIONE
edizione,IV
luogo_pub,MILANO
editore,FELTRINELLI
data_pub,COPYRIGHT 1962
volume,2025-01-01 00:00:00
pagine,741
formato,22
note_sp,"I FATTI E LE IDEE,36 [COLL.]"
data_crea,1997-10-31 00:00:00
n_scheda,17922
segnatura,VA
noName,BIOGR/MAR
cod_sez,VA
n_s_sez,0
soggetto,"MARCONI, GUGLIELMO - BIOGRAFIA"
autore,"SOLARI, LUIGI"
edizione,I
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1940
volume,2025-01-01 00:00:00
pagine,"XV [XVIII],356"
illustr,"ANT.,TAV."
formato,18.5
data_crea,1997-10-31 00:00:00
n_scheda,17921
segnatura,"VA,"
noName,73
cod_sez,AR
n_s_sez,0
autore,"EINSTEIN, ALFRED"
collabor,"BARTALINI ADELE,TRAD."
luogo_pub,FIRENZE
editore,SANSONI
data_pub,1952
volume,2025-01-01 00:00:00
pagine,523
illustr,TAV.
formato,21
data_crea,1997-10-31 00:00:00
n_scheda,17920
segnatura,LE
noName,3-P/26
cod_sez,LE
n_s_sez,3
autore,"PAPINI, GIOVANNI"
edizione,VII
luogo_pub,FIRENZE
editore,VALLECCHI
data_pub,COPYRIGHT 1958
volume,2025-01-01 00:00:00
pagine,"XXXI,1333"
formato,20
data_crea,1997-10-31 00:00:00
n_scheda,17919
segnatura,LE
noName,11/FOG
cod_sez,LE
n_s_sez,11
soggetto,"FOGAZZARO, ANTONIO - BIOGRAFIA"
autore,"NARDI, PIERO"
edizione,III
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1945
volume,2025-01-01 00:00:00
pagine,"6 F.P.,720"
illustr,"ANT.,TAV."
formato,19.5
data_crea,1997-10-31 00:00:00
n_scheda,17918
segnatura,SE
noName,"25/56,II"
cod_sez,SE
n_s_sez,25
autore,"CASTIGLIONI, CARLO"
edizione,II RIV. E AGG.
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,1957
volume,2025-02-02 00:00:00
pagine,"IV,742"
illustr,"ILL.,TAV."
formato,25.5
data_crea,1997-10-30 00:00:00
n_scheda,17917
segnatura,SE
noName,"25/56,I (I-II)"
cod_sez,SE
n_s_sez,25
autore,"SABA, AGOSTINO"
edizione,II RIV. E AGG.
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,1957
volume,2025-02-01 00:00:00
pagine,"VIII,760"
illustr,"ILL.,TAV."
formato,25.5
data_crea,1997-10-30 00:00:00
n_scheda,17916
segnatura,SE
noName,"29/430,I"
cod_sez,SE
n_s_sez,29
soggetto,"CARLO, BORROMEO, S. - AGIOGRAFIA"
autore,"ORSENIGO, CESARE"
edizione,IV
luogo_pub,MILANO
editore,TIP. O.D.C.
data_pub,1965
volume,2025-01-01 00:00:00
pagine,302
illustr,TAV.
formato,18.5
note_sp,LA BIBL. MANCA DEL II VOL.
data_crea,1997-10-30 00:00:00
n_scheda,17915
segnatura,SE
noName,"29,429"
cod_sez,SE
n_s_sez,29
soggetto,"PIO X, PAPA"
autore,"SCAVUZZO, GIOVANNI"
luogo_pub,PADOVA-NAPOLI
editore,PRESBYTERIUM
data_pub,1954
volume,2025-01-01 00:00:00
pagine,83
formato,18
data_crea,1997-10-30 00:00:00
n_scheda,17914
segnatura,SE
noName,"29,428"
cod_sez,SE
n_s_sez,29
soggetto,"FRANCESCO, DI SALES, S. - AGIOGRAFIA"
autore,"CIONI, RAFFAELLO"
edizione,III
luogo_pub,FIRENZE
editore,LIBR. EDITRICE FIORENTINA
data_pub,1942
volume,2025-01-01 00:00:00
pagine,518
formato,19
data_crea,1997-10-30 00:00:00
n_scheda,17913
segnatura,SE
noName,"29,426"
cod_sez,SE
n_s_sez,29
soggetto,"BERNARDO, S. - AGIOGRAFIA"
autore,"GIOVANDO, LORENZO M."
luogo_pub,TORINO
editore,S.E.I.
data_pub,1944
volume,2025-01-01 00:00:00
pagine,237
illustr,ILL.
formato,17
data_crea,1997-10-30 00:00:00
n_scheda,17912
segnatura,SE
noName,"29,425"
cod_sez,SE
n_s_sez,29
soggetto,"BOSCO, GIOVANNI, S. - AGIOGRAFIA"
autore,"CHIAVARINO, LUIGI, SAC."
luogo_pub,ALBA (CN)
editore,PAOLINE
data_pub,1938
volume,2025-01-01 00:00:00
pagine,348
illustr,ILL.
formato,18
data_crea,1997-10-30 00:00:00
n_scheda,17911
segnatura,SE
noName,"29,424"
cod_sez,SE
n_s_sez,29
soggetto,"FRANCESCO, DI SALES, S. - AGIOGRAFIA"
autore,"MARGERIE, A. DI"
collabor,"ZACCHERINI G.,TRAD."
edizione,RISTAMPA
luogo_pub,ROMA
editore,DESCLEE & C.
data_pub,1928
volume,2025-01-01 00:00:00
pagine,192
formato,20
data_crea,1997-10-30 00:00:00
n_scheda,17910
segnatura,SE
noName,"29,422"
cod_sez,SE
n_s_sez,29
soggetto,"AGOSTINO, S. - AGIOGRAFIA"
autore,"CREMONA, CARLO"
edizione,III
luogo_pub,MILANO
editore,RUSCONI
data_pub,COPYRIGHT 1986
volume,2025-01-01 00:00:00
pagine,330
formato,21
cod_isbn,88-18-30009-1
data_crea,1997-10-30 00:00:00
n_scheda,17909
segnatura,SE
noName,"29,421"
cod_sez,SE
n_s_sez,29
soggetto,"AGOSTINO, S. - AGIOGRAFIA"
autore,"MORICCA, UMBERTO"
luogo_pub,TORINO
editore,S.E.I.
data_pub,1930
volume,2025-01-01 00:00:00
pagine,"VIII,431"
illustr,"ANT.,TAV."
formato,22.5
note_sp,FRONT. DANNEGGIATO
data_crea,1997-10-30 00:00:00
n_scheda,17908
segnatura,SE
noName,"14,27"
cod_sez,SE
n_s_sez,14
autore,"CONTINI, GIROLAMO"
luogo_pub,ALBA (CN)
editore,PAOLINE
data_pub,1940
volume,2025-01-01 00:00:00
pagine,393
illustr,TAV.
formato,22
note_sp,FRONT. DANNEGGIATO
data_crea,1997-10-30 00:00:00
n_scheda,17907
segnatura,SE
noName,"12,53"
cod_sez,SE
n_s_sez,12
autore,"LAGNA FIETTA, CESARE"
luogo_pub,FOSSANO
editore,CAPRA
data_pub,1988
volume,2025-01-01 00:00:00
pagine,111
illustr,ILL.[A COL.]
formato,22
data_crea,1997-10-30 00:00:00
n_scheda,17906
segnatura,SP
noName,"11/78,I (I-V)"
cod_sez,SP
n_s_sez,11
autore,"PIO X, PAPA ; BENEDETTO XV, PAPA"
titolo,"HAERENT ANIMO - HUMANI GENERIS REDEMPTIONEM ERA DOPPIA STESSA ED. IN AE 3,IV]"
edizione,I
luogo_pub,SANREMO
editore,"FAMIGLIA DELL'AVE MARIA/GRUPPO SACERDOTALE ""UT UNU"
data_pub,1971
volume,2025-05-01 00:00:00
pagine,86
illustr,TAV.[ANCHE A COL.]
formato,17
collezion,"DE SACERDOTIO, V. 1"
note_sp,COLL. DI DOCUMENTI PONTIFICI E TESTI CONCILIARI SU
data_crea,1997-10-30 00:00:00
n_scheda,17905
segnatura,SP
noName,"11/78,II"
cod_sez,SP
n_s_sez,11
autore,"PIO XI, PAPA"
titolo,"AD CATHOLICI SACERDOTII ERA DOPPIA STESSA ED. IN AE 3,IV]"
collabor,"SUTTI C.,C.M.,TRAD."
edizione,I
luogo_pub,SANREMO
editore,"FAMIGLIA DELL'AVE MARIA/GRUPPO SACERDOTALE ""UT UNU"
data_pub,1971
volume,2025-05-02 00:00:00
pagine,96
illustr,TAV.[ANCHE A COL.]
formato,17
collezion,"DE SACERDOTIO, V. 2"
note_sp,COLL. DI DOCUMENTI PONTIFICI E TESTI CONCILIARI SU
data_crea,1997-10-30 00:00:00
n_scheda,17904
segnatura,SP
noName,"11/78,III"
cod_sez,SP
n_s_sez,11
autore,"PIO XII, PAPA"
titolo,"MENTI NOSTRAE - TRE DISCORSI ERA DOPPIA STESSA ED. IN AE 3,IV]"
collabor,LIBR. EDITRICE VATICANA [A CURA DELLA]
edizione,I
luogo_pub,SANREMO
editore,"FAMIGLIA DELL'AVE MARIA/GRUPPO SACERDOTALE ""UT UNU"
data_pub,1971
volume,2025-05-03 00:00:00
pagine,144
illustr,TAV.[ANCHE A COL.]
formato,17
collezion,"DE SACERDOTIO, V. 3"
note_sp,COLL. DI DOCUMENTI PONTIFICI E TESTI CONCILIARI SU
data_crea,1997-10-30 00:00:00
n_scheda,17903
segnatura,SP
noName,"11/78,IV"
cod_sez,SP
n_s_sez,11
autore,"GIOVANNI XXIII, PAPA ; PAOLO VI, PAPA"
titolo,"SACERDOTII NOSTRI PRIMORDIA - SACERDOTALIS CAELIBATUS ERA DOPPIA STESSA ED. IN AE 3,IV]"
edizione,I
luogo_pub,SANREMO
editore,"FAMIGLIA DELL'AVE MARIA/GRUPPO SACERDOTALE ""UT UNU"
data_pub,1971
volume,2025-05-04 00:00:00
pagine,141
illustr,TAV.[ANCHE A COL.]
formato,17
collezion,"DE SACERDOTIO, V. 4"
note_sp,COLL. DI DOCUMENTI PONTIFICI E TESTI CONCILIARI SU
data_crea,1997-10-30 00:00:00
n_scheda,17902
segnatura,SP
noName,"11/78,V"
cod_sez,SP
n_s_sez,11
titolo,IL SACERDOTE NEL CONCILIO VATICANO II ERA DOPPIA STESSA ED. IN AE 3/IV]
edizione,I
luogo_pub,SANREMO
editore,"FAMIGLIA DELL'AVE MARIA/GRUPPO SACERDOTALE ""UT UNU"
data_pub,1971
volume,2025-05-05 00:00:00
pagine,111
illustr,1 TAV. A COL.
formato,17
collezion,"DE SACERDOTIO, V. 5"
note_sp,COLL. DI DOCUMENTI PONTIFICI E TESTI CONCILIARI SU
data_crea,1997-10-30 00:00:00
n_scheda,17901
segnatura,AE
noName,"3,XIX/5"
cod_sez,AE
n_s_sez,3
titolo,IL SACERDOTE NEL CONCILIO VATICANO II ERA DOPPIA STESSA ED. IN SP 11/78]
edizione,I
luogo_pub,SANREMO
editore,"FAMIGLIA DELL'AVE MARIA/GRUPPO SACERDOTALE ""UT UNU"
data_pub,1971
volume,2025-01-01 00:00:00
pagine,111
illustr,1 TAV. A COL.
formato,17
collezion,"DE SACERDOTIO, V. 5"
note_sp,COLL. DI DOCUMENTI PONTIFICI E TESTI CONCILIARI SU
data_crea,1997-10-30 00:00:00
n_scheda,17900
segnatura,AE
noName,"3,XIX/4"
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI XXIII, PAPA ; PAOLO VI, PAPA"
titolo,SACERDOTII NOSTRI PRIMORDIA - SACERDOTALIS CAELIBATUS ERA DOPPIA STESSA ED. IN SP 11/78]
edizione,I
luogo_pub,SANREMO
editore,"FAMIGLIA DELL'AVE MARIA/GRUPPO SACERDOTALE ""UT UNU"
data_pub,1971
volume,2025-01-01 00:00:00
pagine,141
illustr,TAV.[ANCHE A COL.]
formato,17
collezion,"DE SACERDOTIO, V. 4"
note_sp,COLL. DI DOCUMENTI PONTIFICI E TESTI CONCILIARI SU
data_crea,1997-10-30 00:00:00
n_scheda,17899
segnatura,AE
noName,"3,XIX/3"
cod_sez,AE
n_s_sez,3
autore,"PIO XII, PAPA"
titolo,MENTI NOSTRAE - TRE DISCORSI ERA DOPPIA STESSA ED. IN SP 11/78]
collabor,LIBR. EDITRICE VATICANA [A CURA DELLA]
edizione,I
luogo_pub,SANREMO
editore,"FAMIGLIA DELL'AVE MARIA/GRUPPO SACERDOTALE ""UT UNU"
data_pub,1971
volume,2025-01-01 00:00:00
pagine,144
illustr,TAV.[ANCHE A COL.]
formato,17
collezion,"DE SACERDOTIO, V. 3"
note_sp,COLL. DI DOCUMENTI PONTIFICI E TESTI CONCILIARI SU
data_crea,1997-10-30 00:00:00
n_scheda,17898
segnatura,AE
noName,"3,XIX/2"
cod_sez,AE
n_s_sez,3
autore,"PIO XI, PAPA"
titolo,AD CATHOLICI SACERDOTII ERA DOPPIA STESSA ED. IN SP 11/78]
collabor,"SUTTI C.,C.M.,TRAD."
edizione,I
luogo_pub,SANREMO
editore,"FAMIGLIA DELL'AVE MARIA/GRUPPO SACERDOTALE ""UT UNU"
data_pub,1971
volume,2025-01-01 00:00:00
pagine,96
illustr,TAV.[ANCHE A COL.]
formato,17
collezion,"DE SACERDOTIO, V. 2"
note_sp,COLL. DI DOCUMENTI PONTIFICI E TESTI CONCILIARI SU
data_crea,1997-10-30 00:00:00
n_scheda,17897
segnatura,AE
noName,"3,XIX/1"
cod_sez,AE
n_s_sez,3
autore,"PIO X, PAPA ; BENEDETTO XV, PAPA"
titolo,HAERENT ANIMO - HUMANI GENERIS REDEMPTIONEM ERA DOPPIA STESSA ED. IN SP 11/78]
edizione,I
luogo_pub,SANREMO
editore,"FAMIGLIA DELL'AVE MARIA/GRUPPO SACERDOTALE ""UT UNU"
data_pub,1971
volume,2025-01-01 00:00:00
pagine,86
illustr,TAV.[ANCHE A COL.]
formato,17
collezion,"DE SACERDOTIO, V. 1"
note_sp,COLL. DI DOCUMENTI PONTIFICI E TESTI CONCILIARI SU
data_crea,1997-10-30 00:00:00
n_scheda,17896
segnatura,SP
noName,"17,197"
cod_sez,SP
n_s_sez,17
autore,"MOLINERIS, MICHELE"
luogo_pub,CASTELNUOVO D. BOSCO (AT)
editore,"IST. SALESIANO ""BERNARDI SEMERIA"""
data_pub,1971
volume,2025-01-01 00:00:00
pagine,455
formato,20.5
data_crea,1997-10-30 00:00:00
n_scheda,17895
segnatura,SP
noName,"17,196"
cod_sez,SP
n_s_sez,17
autore,"TERRONE, LUIGI"
titolo,LA DIVINA PROVVIDENZA. DIALOGHI POPOLARI TRA UN ARCIPRETE ED I SUOI PARROCCHIANI
luogo_pub,TORINO
editore,S.E.I.
data_pub,1942
volume,2025-01-01 00:00:00
pagine,175
formato,17
data_crea,1997-10-30 00:00:00
n_scheda,17894
segnatura,SP
noName,"5/13,II"
cod_sez,SP
n_s_sez,5
autore,"LA TOUCHE, LOUISE MARGUERITE CLARET DE"
collabor,ALLEANZA SACERDOTALE UNIV. AMICI S. CUORE [A CURA DELL']
luogo_pub,TORINO-ROMA
editore,MARIETTI
data_pub,1926
volume,2025-02-02 00:00:00
pagine,"8 F.P.,351"
formato,17.5
data_crea,1997-10-30 00:00:00
n_scheda,17893
segnatura,SP
noName,"5/13,I (I-II)"
cod_sez,SP
n_s_sez,5
autore,"LA TOUCHE, LOUISE MARGUERITE CLARET DE"
collabor,ALLEANZA SACERDOTALE UNIV. AMICI S. CUORE [A CURA DELL']
luogo_pub,TORINO-ROMA
editore,MARIETTI
data_pub,1924
volume,2025-02-01 00:00:00
pagine,"XIII [XVI],312"
formato,17.5
data_crea,1997-10-30 00:00:00
n_scheda,17892
segnatura,SP
noName,"14,13"
cod_sez,SP
n_s_sez,14
autore,"SCHRYVERS, G., C.SS.R."
collabor,"ALBERGOTTI C.,TRAD."
luogo_pub,TORINO-ROMA
editore,MARIETTI
data_pub,1924
volume,2025-01-01 00:00:00
pagine,"VIII,341"
formato,17
data_crea,1997-10-30 00:00:00
n_scheda,17891
segnatura,P 2
noName,",C/40"
cod_sez,P
n_s_sez,2
autore,ERMA
collabor,"MARZINI R.,CURAT."
luogo_pub,SIENA
editore,E. CANTAGALLI
data_pub,1928
volume,2025-01-01 00:00:00
pagine,"XXV,189"
formato,19
collezion,"I CLASSICI CRISTIANI, N. 40"
note_sp,COLL. DIR. DA PIERO MISCIATTELLI
data_crea,1997-10-30 00:00:00
n_scheda,17890
segnatura,SE
noName,"8,54"
cod_sez,SE
n_s_sez,8
autore,"PONZETTO, DINO"
titolo,"BORGO REVEL STORICA, RELIGIOSA, PATRIOTTICA, POLITICA, SPORTIVA, FOL KLORISTICA"
luogo_pub,IVREA
editore,TIP. EPOREDIESE
data_pub,1971
volume,2025-01-01 00:00:00
pagine,127
illustr,ILL.[FOT.]
formato,21
note_sp,DATA ED. COME DA NOTA INTRODUTTIVA
data_crea,1997-10-30 00:00:00
n_scheda,17889
segnatura,TD
noName,"17,8"
cod_sez,TD
n_s_sez,17
titolo,RISCOPERTA DELL'UOMO. DAL MITO ALL'ANTROPOLOGIA CRITICA TIANESIMO MODERNO [COLL.]
collabor,"JOANNES F.V.,CURAT."
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1967
volume,2025-01-01 00:00:00
pagine,287
formato,19.5
note_sp,INTROD. DI NANDO FABRO; IDOC-C/DOCUMENTINUOVI-I GR
data_crea,1997-10-30 00:00:00
n_scheda,17888
segnatura,TD
noName,"11,10"
cod_sez,TD
n_s_sez,11
titolo,"CATTOLICESIMO E LIBERTA`. LA COSCIENZA INDIVIDUALE, CRITERIO INVIOLA BILE TI; IDOC-C/DOCUMENTINUOVI-I GRANDI TEMI DEL CRISTIANESIMO MODERNO [C"
collabor,"JOANNES F.V.,CURAT."
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1967
volume,2025-01-01 00:00:00
pagine,365
formato,19.5
note_sp,[IL VATICANO II E LA LIBERTA` RELIGIOSA]; INTROD.
data_crea,1997-10-30 00:00:00
n_scheda,17887
segnatura,SP
noName,"17,187"
cod_sez,SP
n_s_sez,17
autore,"GIOVANNI XXIII, PAPA"
collabor,"DONNELLY J.P.,CURAT."
edizione,II
luogo_pub,MILANO
editore,GARZANTI
data_pub,COPYRIGHT 1967
volume,2025-01-01 00:00:00
pagine,437
formato,19
note_sp,OP. DOPPIA
data_crea,1997-10-24 00:00:00
n_scheda,17886
segnatura,SP
noName,"17,186"
cod_sez,SP
n_s_sez,17
autore,"GIOVANNI XXIII, PAPA"
collabor,"DONNELLY J.P.,CURAT."
edizione,II
luogo_pub,MILANO
editore,GARZANTI
data_pub,COPYRIGHT 1967
volume,2025-01-01 00:00:00
pagine,437
formato,19
note_sp,OP. DOPPIA
data_crea,1997-10-24 00:00:00
n_scheda,17885
segnatura,TD
noName,"13/17,II"
cod_sez,TD
n_s_sez,13
autore,"GARRIGOU-LAGRANGE, REGINALDO, O.P."
edizione,IV EMEND.
luogo_pub,ROMAE
editore,F. FERRARI
data_pub,1945
volume,2025-02-02 00:00:00
pagine,"4 F.P.,459"
formato,24
note_sp,IN TESTA FRONT.: THEOLOGIA FUNDAMENTALIS.../PARS A
data_crea,1997-10-24 00:00:00
n_scheda,17884
segnatura,TD
noName,"13/17,I (I-II)"
cod_sez,TD
n_s_sez,13
autore,"GARRIGOU-LAGRANGE, REGINALDO, O.P."
edizione,IV EMEND.
luogo_pub,ROMAE
editore,F. FERRARI
data_pub,1945
volume,2025-02-01 00:00:00
pagine,"XIV,528"
formato,24
note_sp,IN TESTA FRONT.: THEOLOGIA FUNDAMENTALIS.../PARS A
data_crea,1997-10-24 00:00:00
n_scheda,17883
segnatura,LE
noName,"9,234"
cod_sez,LE
n_s_sez,9
soggetto,AUTORI CLASSICI - ELIODORO
autore,ELIODORO
collabor,"COLONNA ARISTIDE,CURAT."
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,COPYRIGHT 1987
volume,2025-01-01 00:00:00
pagine,603
illustr,TAV.
formato,23
note_sp,"CLASSICI GRECI, COLLEZ. DIR. DA ITALO LANA"
cod_isbn,88-02-04113-X
data_crea,1997-10-24 00:00:00
n_scheda,17882
segnatura,LE
noName,"2,LVIII/28"
cod_sez,LE
n_s_sez,2
soggetto,LETTERATURA - AUTORI LATINI - CORNELIO NEPOTE
autore,"CORNELIO, NEPOTE"
collabor,"AGNES LEOPOLDO,CURAT."
edizione,"I, RISTAMPA"
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,COPYRIGHT 1983
volume,2025-01-01 00:00:00
pagine,460
illustr,TAV.
formato,23
collezion,"CLASSICI LATINI, V. 28"
note_sp,"FRONT. AGG.: CLASSICI LATINI, COLL. DIR. DA I. LAN"
cod_isbn,88-02-02449-9
data_crea,1997-10-24 00:00:00
n_scheda,17881
segnatura,LE
noName,"2,LVIII/23"
cod_sez,LE
n_s_sez,2
soggetto,LETTERATURA - AUTORI LATINI - PATERCOLO / FLORO
autore,PATERCOLO ; FLORO
collabor,AGNES L. ; GIACONE DEANGELI J. [A CURA DI]
edizione,I
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,COPYRIGHT 1991
volume,2025-01-01 00:00:00
pagine,707
illustr,TAV.
formato,23
collezion,"CLASSICI LATINI, V. 23"
note_sp,FRONT. AGG.: CLASSICI LATINI [OP. DOPPIA]
cod_isbn,88-02-04291-8
data_crea,1997-10-24 00:00:00
n_scheda,17880
segnatura,FL
noName,"2,VI/28"
cod_sez,FL
n_s_sez,2
autore,EPICURO
collabor,"ISNARDI PARENTE MARGHERITA,CURAT."
edizione,II
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,COPYRIGHT 1983
volume,2025-01-01 00:00:00
pagine,644
illustr,TAV.
formato,23.5
collezion,"CLASSICI DELLA FILOSOFIA, V. 28"
note_sp,COLLEZ. DIR. DA NICOLA ABBAGNANO
cod_isbn,88-02-03868-6
data_crea,1997-10-24 00:00:00
n_scheda,17879
segnatura,FL
noName,"2,VI/27"
cod_sez,FL
n_s_sez,2
autore,"SPINOZA, BENEDETTO"
collabor,CANTONI R. / FERGNANI F. [A CURA DI]
edizione,RISTAMPA
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,COPYRIGHT 1997
volume,2025-01-01 00:00:00
pagine,747
illustr,TAV.
formato,23.5
collezion,"CLASSICI DELLA FILOSOFIA, V. 27"
note_sp,COLLEZ. DIR. DA NICOLA ABBAGNANO
cod_isbn,88-02-01546-5
data_crea,1997-10-24 00:00:00
n_scheda,17878
segnatura,FL
noName,"2,VI/17 BIS"
cod_sez,FL
n_s_sez,2
autore,"LOTZE, HERMANN"
collabor,"MARINO LUIGI,CURAT. / VILLA GIANFRANCO [A CURA DI]"
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,COPYRIGHT 1988
volume,2025-01-01 00:00:00
pagine,918
illustr,TAV.
formato,23.5
collezion,"CLASSICI DELLA FILOSOFIA, V. 17 BIS"
note_sp,COLLEZ. DIR. DA NICOLA ABBAGNANO; [OP. DOPPIA]
cod_isbn,88-02-04216-0
data_crea,1997-10-24 00:00:00
n_scheda,17877
segnatura,LE
noName,"2,II/105"
cod_sez,LE
n_s_sez,2
titolo,"POETI DEL SETTECENTO SQUAROTTI; [OP. DOPPIA,STESSA ED.]"
collabor,"SOLMI R.,CURAT."
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,980
illustr,TAV.
formato,23.5
collezion,"CLASSICI ITALIANI, V. 105"
note_sp,"COLLEZ. DIR. DA F. NERI E M. FUBINI, CON LA DIREZI"
cod_isbn,88-02-04155-5
data_crea,1997-10-23 00:00:00
n_scheda,17876
segnatura,LE
noName,"2,II/104,2"
cod_sez,LE
n_s_sez,2
autore,"ARIOSTO, LUDOVICO"
titolo,ORLANDO FURIOSO. V. II G. BARBERI SQUAROTTI; PAGINAZIONE CONTINUA
collabor,"CESERANI REMO,CURAT."
edizione,"I, RISTAMPA"
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,COPYRIGHT 1981
volume,2025-02-02 00:00:00
pagine,"4 F.P.,808-1896"
illustr,TAV.
formato,23.5
collezion,"CLASSICI ITALIANI, V. 104/2"
note_sp,"COLLEZ. DIR. DA FERDINANDO NERI E MARIO FUBINI, CO"
cod_isbn,88-02-O1821-9
data_crea,1997-10-23 00:00:00
n_scheda,17875
segnatura,LE
noName,"2,II/104,1 (1-2)"
cod_sez,LE
n_s_sez,2
autore,"ARIOSTO, LUDOVICO"
titolo,ORLANDO FURIOSO. V. I G. BARBERI SQUAROTTI
collabor,"CESERANI REMO,CURAT."
edizione,"I, RISTAMPA"
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,COPYRIGHT 1981
volume,2025-02-01 00:00:00
pagine,907
illustr,TAV.
formato,23.5
collezion,"CLASSICI ITALIANI, V. 104/1"
note_sp,"COLLEZ. DIR. DA FERDINANDO NERI E MARIO FUBINI, CO"
cod_isbn,88-02-O1821-9
data_crea,1997-10-23 00:00:00
n_scheda,17874
segnatura,LE
noName,"2,II/103"
cod_sez,LE
n_s_sez,2
titolo,POEMI CAVALLERESCHI DEL TRRECENTO G. BARBERI SQUAROTTI
collabor,"FERRERO GIUSEPPE GUIDO,CURAT."
edizione,"I, RISTAMPA"
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,COPYRIGHT 1983
volume,2025-01-01 00:00:00
pagine,561
illustr,TAV.
formato,23.5
note_sp,"COLLEZ. DIR. DA FERDINANDO NERI E MARIO FUBINI, CO"
cod_isbn,88-02-O1909-6
data_crea,1997-10-23 00:00:00
n_scheda,17873
segnatura,LE
noName,"2,II/99 BIS"
cod_sez,LE
n_s_sez,2
titolo,"LA TRAGEDIA CLASSICA, DALLE ORIGINI AL MAFFEI G. BARBERI SQUAROTTI. [OP. DOPPIA, DIVERSA ED.]"
collabor,"GASPARINI GIANMARIA,CURAT."
edizione,II
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,COPYRIGHT 1976
volume,2025-01-01 00:00:00
pagine,1111
illustr,TAV.
formato,23.5
note_sp,"COLLEZ. DIR. DA FERDINANDO NERI E MARIO FUBINI, CO"
data_crea,1997-10-23 00:00:00
n_scheda,17872
segnatura,LE
noName,"2,II/101 BIS"
cod_sez,LE
n_s_sez,2
autore,"DELLA CASA, GIOVANNI"
titolo,"PROSE E ALTRI TRATTATISTI CINQUCENTESCHI DEL COMPORTAMENTO G. BARBERI SQUAROTTI. [OP. DOPPIA, DIVERSA ED.]"
collabor,"DI BENEDETTO ARNALDO,CURAT."
edizione,I
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,COPYRIGHT 1970
volume,2025-01-01 00:00:00
pagine,806
illustr,TAV.
formato,23.5
note_sp,"COLLEZ. DIR. DA FERDINANDO NERI E MARIO FUBINI, CO"
cod_isbn,88-02-04278-0
data_crea,1997-10-23 00:00:00
n_scheda,17871
segnatura,LE
noName,"2,II/102 BIS"
cod_sez,LE
n_s_sez,2
autore,"PARINI, GIUSEPPE"
titolo,"OPERE SCELTE G. BARBERI SQUAROTTI. [OP. DOPPIA, DIVERSA ED.]"
collabor,"ZURADELLI A.M.,CURAT."
edizione,I
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,COPYRIGHT 1961
volume,2025-01-01 00:00:00
pagine,1094
illustr,TAV.
formato,23.5
note_sp,"COLLEZ. DIR. DA FERDINANDO NERI E MARIO FUBINI, CO"
cod_isbn,88-02-04223-3
data_crea,1997-10-23 00:00:00
n_scheda,17870
segnatura,LE
noName,3-P/124
cod_sez,LE
n_s_sez,3
autore,"PARDUCCI, PIETRO"
edizione,II
luogo_pub,SIENA
editore,CANTAGALLI
data_pub,1975
volume,2025-01-01 00:00:00
pagine,189
illustr,ILL.[DIS.]
formato,21.5
note_sp,PRES. DI PIERO BARGELLINI; DIS. DI GIORGIO TABET
data_crea,1997-10-23 00:00:00
n_scheda,17869
segnatura,S 1
noName,"4,163"
cod_sez,S
n_s_sez,14
luogo_pub,IVREA
editore,R. ENRICO
data_pub,1994 [?]
volume,2025-01-01 00:00:00
pagine,PAGINAZIONE VARIA
illustr,ILL.[FOT.]
formato,24
data_crea,1997-10-23 00:00:00
n_scheda,17868
segnatura,S 1
noName,"4,162"
cod_sez,S
