field,value
pagine,"XXIII,289"
formato,16
note_sp,BIBLIOTECA SANSONIANA STRANIERA
data_crea,2000-01-20 00:00:00
n_scheda,23129
segnatura,BL
noName,"6,XLVI/29"
cod_sez,BL
n_s_sez,6
collabor,"BACCHIARELLO L.,TRAD."
luogo_pub,BRESCIA
editore,PAIDEIA
data_pub,COPYRIGHT 1976
volume,2025-01-01 00:00:00
pagine,242
formato,21
collezion,"BIBLIOTECA DI CULTURA RELIGIOSA, N. 29"
note_sp,CONTRIBUTI DI AA.VV.
data_crea,2000-01-20 00:00:00
n_scheda,23128
segnatura,BL
noName,"6,XLVI/27"
cod_sez,BL
n_s_sez,6
autore,"SUBILIA, VITTORIO"
luogo_pub,BRESCIA
editore,PAIDEIA
data_pub,COPYRIGHT 1976
volume,2025-01-01 00:00:00
pagine,362
formato,21
collezion,"BIBLIOTECA DI CULTURA RELIGIOSA, N. 27"
data_crea,2000-01-20 00:00:00
n_scheda,23127
segnatura,BL
noName,"6,XLVI/26"
cod_sez,BL
n_s_sez,6
autore,"SARDI, PAOLO"
luogo_pub,BRESCIA
editore,PAIDEIA
data_pub,COPYRIGHT 1975
volume,2025-01-01 00:00:00
pagine,389
formato,21
collezion,"BIBLIOTECA DI CULTURA RELIGIOSA, N. 26"
data_crea,2000-01-20 00:00:00
n_scheda,23126
segnatura,BL
noName,"6,XLVI/20"
cod_sez,BL
n_s_sez,6
autore,"VINAY, VALDO"
edizione,"II, RIV. E ACCR."
luogo_pub,BRESCIA
editore,PAIDEIA
data_pub,COPYRIGHT 1982
volume,2025-01-01 00:00:00
pagine,542
formato,21
collezion,"BIBLIOTECA DI CULTURA RELIGIOSA, N. 20"
data_crea,2000-01-20 00:00:00
n_scheda,23125
segnatura,BL
noName,"6,XLVI/18"
cod_sez,BL
n_s_sez,6
titolo,IL DIALOGO E` APERTO. IL CONCILIO VISTO DAGLI OSSERVATORI LUTERANI NDBECK G.A. / QUANBECK W.A. / SCHLINK E. / SKYDSGAARD K.E. / VAJTA
collabor,CULLMANN O. / AAGAARD J. / KANTZENBACH F.W. / DIETZFELBINGER W. / LI
luogo_pub,BRESCIA
editore,PAIDEIA
data_pub,COPYRIGHT 1969
volume,2025-01-01 00:00:00
pagine,371
formato,21
collezion,"BIBLIOTECA DI CULTURA RELIGIOSA, N. 18"
data_crea,2000-01-20 00:00:00
n_scheda,23124
segnatura,BL
noName,"6,XLVI/15"
cod_sez,BL
n_s_sez,6
autore,"EHRLICH, RUDOLF J."
collabor,"GIRARDET M.,TRAD."
luogo_pub,BRESCIA
editore,PAIDEIA
data_pub,COPYRIGHT 1969
volume,2025-01-01 00:00:00
pagine,303
formato,21
collezion,"BIBLIOTECA DI CULTURA RELIGIOSA, N. 15"
data_crea,2000-01-20 00:00:00
n_scheda,23123
segnatura,BL
noName,"6,XLVII/25,II/2"
cod_sez,BL
n_s_sez,6
autore,"GRILLMEIER, ALOIS"
titolo,"GESU` IL CRISTO, NELLA FEDE DELLA CHIESA. V. II/2. LA CHIESA DI COST ANTINOPOLI NEL VI SECOLO"
collabor,"HAINTHALER TH.,COLLAB. / GATTI V.,TRAD. / ZANI ANTONIO,CURAT."
luogo_pub,BRESCIA
editore,PAIDEIA EDITRICE
data_pub,COPYRIGHT 1999
volume,2025-01-01 00:00:00
pagine,670
formato,22.5
collezion,"BIBLIOTECA TEOLOGICA, N. 25,II/2"
cod_isbn,88-394-0572-0
data_crea,2000-01-20 00:00:00
n_scheda,23122
segnatura,BL
noName,"6,XLVII/24,II/1"
cod_sez,BL
n_s_sez,6
autore,"GRILLMEIER, ALOIS"
titolo,"GESU` IL CRISTO, NELLA FEDE DELLA CHIESA. V. II/1. LA RICEZIONE DEL CONCILIO DI CALCEDONIA (451-518)"
collabor,"OLIVIERI SAMUELE,CURAT."
luogo_pub,BRESCIA
editore,PAIDEIA
data_pub,COPYRIGHT 1996
volume,2025-01-01 00:00:00
pagine,475
formato,22.5
collezion,"BIBLIOTECA TEOLOGICA, N. 24,II/1"
cod_isbn,88-394-0532-I
data_crea,2000-01-20 00:00:00
n_scheda,23121
segnatura,BL
noName,"6,XLVII/11"
cod_sez,BL
n_s_sez,6
autore,"DODD, CHARLES HAROLD"
collabor,"ORNELLA ANTONIO,CURAT."
luogo_pub,BRESCIA
editore,PAIDEIA
data_pub,COPYRIGHT 1974
volume,2025-01-01 00:00:00
pagine,582
formato,22.5
collezion,"BIBLIOTECA TEOLOGICA, N. 11"
data_crea,2000-01-20 00:00:00
n_scheda,23120
segnatura,BL
noName,"6,XLIII/6-S"
cod_sez,BL
n_s_sez,6
autore,"GNILKA, JOACHIM"
collabor,"GATTI V.,TRAD."
luogo_pub,BRESCIA
editore,PAIDEIA EDITRICE
data_pub,COPYRIGHT 1998
volume,2025-01-01 00:00:00
pagine,427
illustr,CARTINE
formato,23
collezion,"COMMENTARIO TEOLOGICO DEL N.T.-SUPPLEMENTI, N. 6/S"
note_sp,FRONT. AGG.
cod_isbn,88-394-0558-5
data_crea,2000-01-20 00:00:00
n_scheda,23119
segnatura,BL
noName,"6,XLIII/5-S"
cod_sez,BL
n_s_sez,6
autore,"HUBNER, HANS"
collabor,"TOMASONI FRANCESCO,TRAD."
luogo_pub,BRESCIA
editore,PAIDEIA
data_pub,COPYRIGHT 1997
